1 ; Frau ; Rieke ; Miller ; 6.3.1987 ; Zum Burgschemm 120 ; 24321 ; Behrensdorf ; 04381 / 3916101 ; 
2 ; Frau ; Anouk ; Marquard ; 26.1.1975 ; Dingbängerweg 59 ; 89183 ; Breitingen ; 07340 / 55717426 ; 
3 ; Herr ; Noah ; Castro ; 23.12.1963 ; Westenkamp 135 ; 36369 ; Lautertal ; 06643 / 68423385 ; 
4 ; Herr ; Frederik ; Traub ; 15.2.1951 ; Düesbergweg 164 ; 17235 ; Neustrelitz ; 03981 / 33390017 ; 
5 ; Herr ; David ; Laube ; 17.7.1924 ; Dauvemühle 139 ; 35274 ; Kirchhain ; 06422 / 81890887 ; 
6 ; Frau ; Katrin ; Carsten ; 3.9.1997 ; Enschedeweg 174 ; 92253 ; Schnaittenbach ; 09622 / 14119865 ; 
7 ; Frau ; Klaudia ; Ramirez ; 23.8.1960 ; Münsterstr. 125 ; 37130 ; Gleichen ; 0551 / 54527683 ; 
8 ; Frau ; Stephanie ; Ladwig ; 9.1.1948 ; Soetenkamp 21 ; 95339 ; Wirsberg ; 09227 / 86063533 ; 
9 ; Frau ; Melina ; Haynes ; 28.4.1963 ; Kerßenbrockstr. 186 ; 54295 ; Trier ; 0651 / 8048030 ; 
10 ; Frau ; Yvonne ; Ziemann ; 23.3.1933 ; Scheibenstr. 3 ; 56825 ; Weiler ; 02676 / 97233850 ; 
11 ; Frau ; Dagmar ; Jänsch ; 17.4.1949 ; Kerßenbrockstr. 51 ; 21369 ; Nahrendorf ; 05855 / 24529131 ; 
12 ; Frau ; Kirsten ; Juergens ; 27.5.1990 ; Südstr. 98 ; 61381 ; Seulberg ; 06172 / 62953760 ; 
13 ; Herr ; Lorenz ; Jankowski ; 28.8.1988 ; Werkstattstr. 103 ; 57258 ; Büschergrund ; 02734 / 30608611 ; 
14 ; Herr ; Jakob ; Ihle ; 11.12.1985 ; Hölkenbusch 19 ; 24229 ; Schwedeneck ; 04308 / 36386658 ; 
15 ; Herr ; Bastian ; Trautmann ; 25.11.1985 ; Hogenbergstr. 149 ; 87662 ; Osterzell ; 08344 / 94009276 ; 
16 ; Herr ; Paul ; Seewald ; 22.1.1966 ; Werseblick 105 ; 66879 ; Niedermohr ; 06371 / 77200374 ; 
17 ; Frau ; Elizabeth ; Hampel ; 26.9.1960 ; Nauheimer Str. 130 ; 56864 ; Bad Bertrich ; 02674 / 6230661 ; 
18 ; Herr ; Bennet ; Zink ; 7.12.1958 ; Hülsebrockstr. 165 ; 12349 ; Buckow ; 030 / 71546960 ; 
19 ; Frau ; Anika ; Sanders ; 4.9.1976 ; Uhuweg 66 ; 91481 ; Münchsteinach ; 09166 / 44866481 ; 
20 ; Herr ; Jonah ; Bartelt ; 18.5.1996 ; Dauvemühle 192 ; 67685 ; Eulenbis ; 06374 / 85487941 ; 
21 ; Herr ; Sascha ; Pierce ; 22.2.1976 ; Am Pulverschuppen 160 ; 54646 ; Stockem ; 06561 / 94324185 ; 
22 ; Herr ; Patrik ; Trost ; 1.9.1933 ; Overbergstr. 119 ; 37327 ; Leinefelde-Worbis ; 03605 / 84163610 ; 
23 ; Frau ; Herta ; Ferguson ; 26.7.1921 ; Röttgensweg 196 ; 55606 ; Kellenbach ; 06752 / 52355140 ; 
24 ; Herr ; Fabio ; Krone ; 3.1.1990 ; Hindenburgplatz 35 ; 66903 ; Ohmbach ; 06373 / 66814561 ; 
25 ; Frau ; Mathilda ; Behnke ; 2.3.1953 ; Gasselstiege 57 ; 56368 ; Katzenelnbogen ; 06486 / 184368 ; 
26 ; Frau ; Annabelle ; Wild ; 2.10.1955 ; Deutz-Kalker Str. 178 ; 95659 ; Arzberg ; 09233 / 10443320 ; 
27 ; Herr ; Arthur ; Reischl ; 12.8.1994 ; Friesenring 186 ; 17111 ; Borrentin ; 03994 / 24148891 ; 
28 ; Herr ; Matteo ; Hillmann ; 9.12.1967 ; Gasselstiege 96 ; 25358 ; Sommerland ; 04126 / 17682227 ; 
29 ; Herr ; Torsten ; Schumacher ; 3.5.1991 ; Gremmendorfer Weg 76 ; 67308 ; Biedesheim ; 06351 / 3982571 ; 
30 ; Herr ; Justin ; Habermann ; 4.8.1933 ; Kröver Str. 78 ; 17217 ; Krukow ; 03962 / 66659213 ; 
31 ; Frau ; Alicia ; Bridges ; 24.5.1956 ; Arnheimweg 129 ; 06333 ; Walbeck ; 03476 / 57750827 ; 
32 ; Frau ; Luna ; Peters ; 9.4.1947 ; Dreizehnerstr. 85 ; 92364 ; Deining ; 09184 / 49127257 ; 
33 ; Frau ; Mathilda ; Wendt ; 11.10.1978 ; Flaßkuhl 51 ; 84432 ; Hohenpolding ; 08084 / 42513811 ; 
34 ; Frau ; Hildegard ; Reinelt ; 13.11.1941 ; Friesenring 173 ; 91747 ; Westheim ; 09833 / 57296012 ; 
35 ; Frau ; Christiane ; Herber ; 12.4.1928 ; Meckmannweg 45 ; 56729 ; Langscheid ; 02651 / 40490230 ; 
36 ; Frau ; Marlis ; Clark ; 2.11.1983 ; Speestr. - 37a ; 76356 ; Weingarten ; 07244 / 46000204 ; 
37 ; Frau ; Caja ; Aust ; 10.1.1990 ; Ostmarkstr. 160 ; 47829 ; Krefeld ; 02151 / 91272372 ; 
38 ; Herr ; Sven ; Cao ; 28.11.1949 ; Straßburger Weg 88 ; 25872 ; Ostenfeld ; 04845 / 54009234 ; 
39 ; Herr ; Luke ; Ehrlich ; 12.8.1947 ; Sternstr. 18 ; 37639 ; Bevern ; 05531 / 43200660 ; 
40 ; Frau ; Lia ; Pech ; 1.9.1984 ; Geiststr. 198 ; 07389 ; Grobengereuth ; 03647 / 65021875 ; 
41 ; Frau ; Rosa ; Hille ; 21.12.1985 ; Jakobusstr. 58 ; 31084 ; Freden ; 05184 / 57682841 ; 
42 ; Herr ; Mohamed ; Watson ; 7.7.1992 ; Heroldstr. 62 ; 54570 ; Oberstadtfeld ; 06592 / 90161610 ; 
43 ; Frau ; Melanie ; Wecker ; 25.9.1936 ; Birkenweg 101 ; 83256 ; Chiemsee ; 08054 / 65177016 ; 
44 ; Herr ; Mathis ; Schatz ; 14.3.1941 ; Kröver Str. 194 ; 49448 ; Brockum ; 05443 / 13886751 ; 
45 ; Frau ; Olivia ; Abels ; 26.8.1994 ; Grevener Str. 79 ; 53489 ; Sinzig ; 02642 / 93380824 ; 
46 ; Frau ; Lina ; Bretz ; 26.12.1974 ; Schiffahrter Damm 88 ; 39112 ; Magdeburg ; 0391 / 7762245 ; 
47 ; Frau ; Anabel ; Vetter ; 13.6.1972 ; Meesenstiege 148 ; 97705 ; Burkardroth ; 09734 / 15944136 ; 
48 ; Herr ; Niklas ; Böttner ; 11.5.1989 ; Rinkerodeweg 100 ; 49082 ; Osnabrück ; 0541 / 35377408 ; 
49 ; Frau ; Janine ; Resch ; 12.12.1977 ; Osthuesheide 56 ; 06528 ; Riestedt ; 03464 / 90451011 ; 
50 ; Frau ; Malin ; Kamp ; 10.5.1922 ; Berrischstr. 8 ; 55234 ; Albig ; 06731 / 4219643 ; 
