1 ; Frau ; Ingrid ; Jacobi ; 10.12.1995 ; Hindenburgplatz 199 ; 02906 ; Quitzdorf am See ; 03588 / 47115256 ; 
2 ; Herr ; Nicolas ; Gruber ; 24.4.1946 ; Pötterhoek 141 ; 24616 ; Hasenkrug ; 04192 / 75946871 ; 
3 ; Herr ; Julian ; Sailer ; 9.9.1934 ; Birkenweg 89 ; 57539 ; Roth ; 02682 / 37515138 ; 
4 ; Herr ; Hans ; Ullrich ; 18.6.1988 ; Parkallee 151 ; 31595 ; Steyerberg ; 05764 / 70774050 ; 
5 ; Herr ; Helmut ; Reineke ; 1.4.1981 ; Havichhorster Mühle 116 ; 23730 ; Sierksdorf ; 04561 / 22653350 ; 
6 ; Herr ; Tristan ; Schäffler ; 1.6.1951 ; Sternstr. 49 ; 97209 ; Veitshöchheim ; 0931 / 81854397 ; 
7 ; Frau ; Ruth ; Katz ; 17.7.1962 ; Friedrichstr. 34 ; 68519 ; Viernheim ; 06204 / 26126966 ; 
8 ; Frau ; Meike ; Blair ; 23.8.1984 ; Horstmarer Landweg 197a ; 25862 ; Goldelund ; 04671 / 99208943 ; 
9 ; Herr ; Nik ; Seliger ; 4.11.1937 ; Teutonenstr. 156 ; 79295 ; Sulzburg ; 07634 / 60070520 ; 
10 ; Herr ; Ralf ; Schwabe ; 3.8.1968 ; Birkenweg 78 ; 19077 ; Rastow ; 03868 / 54186197 ; 
11 ; Frau ; Hildegard ; McGuire ; 19.12.1940 ; Elsa-Brändström-Weg 134 ; 61197 ; Florstadt ; 06035 / 55655767 ; 
12 ; Herr ; Björn ; Bass ; 13.2.1924 ; Enschedeweg 46 ; 66987 ; Thaleischweiler-Fröschen ; 06334 / 4066580 ; 
13 ; Herr ; Marc ; Aydin ; 24.5.1973 ; Telemannstr. 176 ; 72532 ; Gomadingen ; 07385 / 27223747 ; 
14 ; Frau ; Irmgard ; Pratt ; 9.12.1939 ; Gildenstr. 68 ; 15230 ; Frankfurt ; 0335 / 36047534 ; 
15 ; Herr ; Ricardo ; Funke ; 10.10.1951 ; Weserstr. 50 ; 77960 ; Seelbach ; 07823 / 11478066 ; 
16 ; Frau ; Rosemarie ; Hussmann ; 17.3.1981 ; Florentine-Eichler-Str. 9 ; 49843 ; Wielen ; 05942 / 11685648 ; 
17 ; Frau ; Maya ; Vollmer ; 21.5.1992 ; Zur Wiese 30 ; 21261 ; Welle ; 04188 / 73092409 ; 
